open,high,low,close,volume,vwap,timestamp,transactions,otc
0.197863,0.204382,0.161,0.180426,240000.0,0.1746,2018-03-26,309,
0.180739,0.19,0.16,0.164295,137800.0,0.1703,2018-03-27,290,
0.166962,0.177785,0.161128,0.171131,173900.0,0.1688,2018-03-28,254,
0.170882,0.171402,0.155,0.16,238400.0,0.1614,2018-03-29,417,
0.156451,0.164303,0.148999,0.157378,269500.0,0.1531,2018-03-30,342,
0.158641,0.171767,0.156939,0.162782,219100.0,0.1628,2018-03-31,347,
0.166917,0.17,0.148999,0.156724,361100.0,0.1565,2018-04-01,380,
0.156186,0.167001,0.156186,0.164901,81500.0,0.163,2018-04-02,206,
0.16795,0.185747,0.1649,0.185431,202300.0,0.1752,2018-04-03,396,
0.183638,0.190283,0.158412,0.160407,300500.0,0.173,2018-04-04,527,
0.158932,0.162607,0.1503,0.161613,165800.0,0.1559,2018-04-05,361,
0.16,0.16,0.150031,0.154571,112900.0,0.154,2018-04-06,164,
0.155747,0.164798,0.15537,0.15985,147100.0,0.1605,2018-04-07,193,
0.159795,0.17,0.159795,0.167581,41100.0,0.1651,2018-04-08,94,
0.168514,0.177045,0.157,0.166268,182900.0,0.1657,2018-04-09,303,
0.165727,0.171925,0.160001,0.168122,87800.0,0.1647,2018-04-10,226,
0.170616,0.181174,0.163,0.181174,252500.0,0.1739,2018-04-11,366,
0.181421,0.235,0.1777,0.234384,1272400.0,0.2017,2018-04-12,1491,
0.234941,0.24148,0.200905,0.214037,503700.0,0.2259,2018-04-13,919,
0.214146,0.225089,0.207827,0.221,243800.0,0.218,2018-04-14,423,
0.220511,0.244,0.220511,0.240999,217800.0,0.2345,2018-04-15,461,
0.241,0.28,0.225009,0.262419,1274700.0,0.2509,2018-04-16,1531,
0.263,0.282334,0.253167,0.265,934000.0,0.2671,2018-04-17,1053,
0.266379,0.286146,0.261543,0.284715,312600.0,0.2726,2018-04-18,372,
0.28077,0.298,0.279941,0.29273,297300.0,0.2896,2018-04-19,493,
0.29333,0.324375,0.29,0.322743,330400.0,0.3036,2018-04-20,567,
0.324376,0.324376,0.273041,0.296081,482800.0,0.2968,2018-04-21,782,
