open,high,low,close,volume,vwap,timestamp,transactions,otc
88.93,94.5,78.0,85.8,1213777.1374578804,88.2295,2021-11-10,113051,
85.92,89.97,83.9,88.61,705241.2271729299,87.7467,2021-11-11,67728,
88.59,90.5,81.247,84.97,727710.6463607929,84.8376,2021-11-12,69585,
84.98,98.65,84.87,97.78,930873.7956143277,93.0809,2021-11-13,102467,
97.74,100.0,91.649,95.85,915799.8200032227,95.8042,2021-11-14,101320,
95.78,101.94,92.0,93.9,1155981.1791240997,97.3902,2021-11-15,117211,
93.92,102.71,83.335,97.72,1738833.2872728559,93.9712,2021-11-16,140480,
97.69,110.49,91.62,107.97,1928941.7228903729,102.4185,2021-11-17,170416,
108.0,111.0,92.01,100.7,1908578.6654604038,101.3735,2021-11-18,159908,
100.81,112.65,96.0,112.31,1288984.271201532,105.7868,2021-11-19,122770,
112.3,130.55,111.82,126.03,1953076.777489718,121.84,2021-11-20,195447,
126.08,147.5,123.16,128.67,2636559.27673442,134.062,2021-11-21,258002,
128.76,145.25,126.23,135.29,2545728.214696462,136.8024,2021-11-22,233088,
135.21,136.83,122.02,123.86,1698114.7319461324,129.3957,2021-11-23,190122,
123.86,124.84,112.55,115.25,1838485.6159048171,117.8557,2021-11-24,184867,
115.18,130.26,114.38,119.3,1747294.359272332,123.2832,2021-11-25,162711,
119.33,119.95,101.33,104.48,1698429.5022046545,109.5392,2021-11-26,168952,
104.38,119.0,103.28,113.66,1084887.0144902125,111.1852,2021-11-27,105952,
113.68,113.99,101.0,110.63,1130035.346007853,107.5332,2021-11-28,108688,
110.62,120.99,109.33,120.84,1000462.8047191065,114.5087,2021-11-29,103260,
120.8,124.98,114.16,121.22,1554858.9784714165,120.6405,2021-11-30,146274,
121.28,127.59,117.36,119.76,1436406.437522302,123.7722,2021-12-01,145085,
119.76,119.89,107.01,107.83,1266258.224658843,114.2352,2021-12-02,128880,
107.89,113.25,99.16,108.51,1717447.755884178,106.8434,2021-12-03,159398,
108.41,108.87,76.478,93.08,2946244.3477075486,92.347,2021-12-04,225992,
93.07,95.58,82.52,86.52,1791700.8153753493,87.6529,2021-12-05,150237,
86.46,95.0,77.0,93.1,2272736.2725240416,86.2552,2021-12-06,159776,
93.04,96.78,88.02,89.693,1306849.8949447796,93.35,2021-12-07,105376,
89.6,93.35,86.5,93.31,958802.6225128992,90.5065,2021-12-08,77405,
93.35,94.65,83.3,85.47,1451304.8757833752,88.8207,2021-12-09,101117,
85.46,91.742,80.37,80.78,1272901.4039971856,86.3751,2021-12-10,106535,
80.65,87.32,78.85,86.55,975078.7749310893,82.9593,2021-12-11,85006,
86.57,88.99,83.02,88.101,647465.916571497,86.1154,2021-12-12,60815,
88.07,90.15,75.63,79.14,1632535.3486259999,82.1504,2021-12-13,115678,
79.11,87.5,76.5,87.26,1504160.3238004856,81.3637,2021-12-14,104691,
87.26,105.78,86.1,101.3,2975542.3500837213,94.6203,2021-12-15,206383,
101.3,110.0,98.0,98.29,2114049.1270535514,104.6495,2021-12-16,166622,
98.32,116.41,98.2,110.79,2238910.107821231,107.9862,2021-12-17,174030,
110.75,117.41,105.56,115.94,1510332.386761484,112.1752,2021-12-18,123576,
115.97,116.8,106.82,107.6,934698.1304990996,111.4478,2021-12-19,85816,
107.57,116.23,101.0,113.55,1810340.7957585393,107.6525,2021-12-20,142724,
113.58,124.1,110.27,123.27,1573704.0635438676,117.752,2021-12-21,131853,
123.27,127.44,115.57,116.66,1372139.123274382,122.5668,2021-12-22,120082,
116.74,125.06,116.17,121.37,1194250.7127633311,121.317,2021-12-23,107243,
121.48,124.7,113.36,114.93,1015787.2273530142,120.3042,2021-12-24,94224,
115.01,116.99,112.15,114.86,962191.2509909412,114.8142,2021-12-25,80148,
114.82,118.0,109.41,115.07,1016847.7627595408,113.6778,2021-12-26,88110,
115.08,121.04,113.29,113.96,740244.8073780861,117.0533,2021-12-27,74652,
113.96,116.76,104.39,107.05,1534971.681441257,110.3492,2021-12-28,132456,
107.09,110.76,102.42,103.11,1070660.4612488078,106.7612,2021-12-29,94956,
103.17,105.57,98.2,101.73,1221740.8278545572,102.3667,2021-12-30,104267,
101.8,112.06,100.26,109.4,1427176.6424554854,106.614,2021-12-31,118706,
109.43,115.42,108.22,114.26,612971.429424528,111.3719,2022-01-01,66811,
114.27,117.53,112.0,113.21,640264.6350083519,114.9721,2022-01-02,71847,
113.13,114.18,105.98,108.09,793069.0016528005,110.1639,2022-01-03,87498,
108.09,109.28,102.84,103.3,874388.3048656246,106.162,2022-01-04,87634,
103.27,106.61,90.5,97.36,1327003.6874628682,100.1728,2022-01-05,125216,
97.37,98.01,91.01,95.14,1063265.2513836175,94.4322,2022-01-06,100294,
95.11,95.46,85.02,86.79,1679170.3093120789,88.6405,2022-01-07,157738,
86.85,89.58,79.2,83.91,1339919.6173833953,84.0431,2022-01-08,123741,
83.95,91.93,82.44,89.34,975994.1766205713,87.3941,2022-01-09,90360,
89.31,90.99,80.25,84.471,1332888.7109776805,84.9689,2022-01-10,120712,
84.47,91.04,83.23,89.66,845103.0977226755,87.3678,2022-01-11,84773,
89.66,96.99,88.84,96.02,972598.5686647446,93.7033,2022-01-12,84538,
95.99,97.29,89.14,89.76,835137.3238984254,93.3109,2022-01-13,79315,
89.7,91.77,87.25,90.41,749786.167818662,89.8029,2022-01-14,73719,
90.43,94.449,89.53,93.08,519872.43417064304,91.924,2022-01-15,56876,
93.08,94.96,91.86,92.34,449683.7492237809,93.2171,2022-01-16,53478,
92.34,92.64,85.37,86.68,732244.141114605,88.202,2022-01-17,75352,
86.72,87.45,83.63,86.02,627387.3145405487,85.4183,2022-01-18,61917,
86.03,86.45,81.12,82.64,597346.0087241118,84.0235,2022-01-19,59460,
82.61,87.89,78.71,79.35,747165.7358140827,83.984,2022-01-20,69139,
79.3,80.341,64.0,66.07,2433146.145586689,72.2852,2022-01-21,158543,
66.04,67.57,53.0,59.8,3067195.9526382606,60.0935,2022-01-22,183557,
59.85,66.9,59.08,64.85,1926024.594282256,62.7015,2022-01-23,116341,
64.87,64.9,55.19,63.05,2199104.308960024,59.666,2022-01-24,130455,
63.1,70.6,61.71,68.08,1799513.1957012103,65.7028,2022-01-25,131067,
68.04,73.57,64.39,65.89,2269488.746936591,68.7461,2022-01-26,166883,
65.92,67.99,61.18,64.73,1632562.7561873833,64.1791,2022-01-27,127379,
64.7,67.59,61.77,67.06,1118289.3827263375,64.9064,2022-01-28,100554,
67.06,73.59,66.92,71.95,1228157.0899298964,70.3624,2022-01-29,106250,
71.95,72.44,66.71,67.98,891251.7518930658,69.6865,2022-01-30,85609,
68.0,70.76,64.24,69.92,1323624.7482931516,67.6149,2022-01-31,111439,
69.93,73.951,68.58,73.37,1661921.5701417918,70.6733,2022-02-01,136673,
73.36,74.87,67.51,67.87,1547232.4494206528,71.4447,2022-02-02,122993,
67.89,69.23,65.03,68.49,1204530.2116334755,67.2742,2022-02-03,106036,
68.42,77.91,67.48,77.91,1426313.6746621386,72.8768,2022-02-04,122354,
77.87,80.99,75.02,77.09,1131099.8013277906,77.9453,2022-02-05,101663,
77.08,79.24,74.15,79.05,633801.7850959745,77.0257,2022-02-06,62770,
79.02,85.45,77.48,83.23,1278419.0981067014,82.3872,2022-02-07,105232,
83.24,93.237,81.73,86.45,2093021.1015469322,87.3472,2022-02-08,238729,
86.48,92.14,84.517,90.18,1060335.7517425113,88.9755,2022-02-09,96388,
90.12,95.15,85.13,91.18,1803001.989219735,90.6277,2022-02-10,136691,
91.22,92.69,79.93,81.81,1541842.3241283202,86.9205,2022-02-11,137086,
81.8,84.888,78.82,81.34,1418838.1221814756,81.9445,2022-02-12,124393,
81.41,83.341,77.56,77.97,802119.1879030914,80.56,2022-02-13,74014,
78.0,82.6,76.2,81.84,1188132.515631134,79.7576,2022-02-14,102508,
81.89,93.77,81.47,93.07,1276645.672329163,87.6601,2022-02-15,112674,
93.07,97.45,91.24,95.39,1839855.917172585,94.2344,2022-02-16,150636,
95.39,98.77,86.41,88.28,1998359.2871628387,91.9408,2022-02-17,175961,
88.33,90.09,82.37,83.75,1685584.34723712,85.7652,2022-02-18,136839,
83.77,86.4,80.88,85.07,834202.3329866456,84.0058,2022-02-19,86726,
85.04,85.69,76.51,77.39,1173127.3731086259,79.8684,2022-02-20,103887,
77.38,82.75,69.44,70.08,2014696.1432269178,76.5616,2022-02-21,155579,
70.06,74.95,67.21,74.42,1658016.4885037192,71.2451,2022-02-22,138933,
74.42,83.284,73.34,73.5,2105447.5622047503,77.9742,2022-02-23,136471,
73.5,80.0,64.62,76.41,4188141.8143429467,70.3634,2022-02-24,269736,
76.43,82.09,72.7,81.05,1799872.98474844,77.3696,2022-02-25,137489,
81.014,85.256,78.14,81.79,1466018.4886006638,81.5956,2022-02-26,104129,
81.88,82.391,73.15,75.09,1806820.206618762,77.5127,2022-02-27,126260,
75.07,86.253,71.867,84.59,2103831.506396748,78.783,2022-02-28,142284,
84.6,90.98,83.62,86.96,2247094.7480468317,87.2616,2022-03-01,161481,
86.95,89.98,82.38,83.42,1541813.530673655,85.5298,2022-03-02,119140,
83.39,84.398,77.06,78.49,1456101.4364092834,80.1228,2022-03-03,104196,
78.47,82.294,74.98,75.82,1823411.938893174,78.2217,2022-03-04,123919,
75.8,78.74,73.32,76.71,914913.7095789165,76.2873,2022-03-05,69099,
76.71,77.125,72.12,72.47,960588.3424910901,74.6236,2022-03-06,68249,
72.52,76.53,70.35,71.75,1292592.3970125127,72.8107,2022-03-07,94880,
71.75,76.649,71.21,72.98,1407533.6721219227,73.2009,2022-03-08,102557,
73.02,80.5,72.36,77.65,1760323.8380073202,77.5533,2022-03-09,112765,
77.62,79.017,71.3,73.95,1260719.490665067,74.6521,2022-03-10,85421,
73.98,76.94,70.79,71.25,1617178.5517259105,73.7735,2022-03-11,106630,
71.25,73.65,70.758,70.94,466102.70504351024,72.1061,2022-03-12,41709,
70.96,71.99,67.22,67.97,605963.1428104793,70.0327,2022-03-13,50189,
67.96,71.49,65.56,68.98,1152684.2100640978,67.7719,2022-03-14,90541,
68.99,72.35,66.08,69.83,949449.114081814,69.0725,2022-03-15,71374,
69.85,74.81,68.06,74.12,1425006.4469213365,71.3359,2022-03-16,114194,
74.1,81.76,73.18,79.47,1623858.4030289615,78.4806,2022-03-17,118864,
79.45,86.95,76.5,85.76,1567907.3905709288,81.8664,2022-03-18,123724,
85.77,92.42,85.6,89.58,1409620.6977941317,89.0955,2022-03-19,105398,
89.55,90.0,84.359,84.85,993328.033524349,87.1864,2022-03-20,82812,
84.93,92.5,83.09,86.26,1433826.7142716893,87.7751,2022-03-21,106722,
86.25,89.89,83.71,83.98,1595595.202835024,87.0982,2022-03-22,108332,
83.96,87.166,82.134,86.01,1082714.6846546533,84.7624,2022-03-23,81311,
86.01,88.32,83.668,87.61,1190366.5130620722,86.1859,2022-03-24,88165,
87.62,87.83,82.42,83.58,1038059.8785555372,85.2069,2022-03-25,80141,
83.58,86.8,82.482,85.96,605207.381341379,85.0067,2022-03-26,50557,
85.94,90.0,84.45,89.91,645407.4352168101,86.9858,2022-03-27,53633,
89.92,96.31,88.61,89.58,1611319.8426417555,92.473,2022-03-28,129260,
89.58,96.479,89.29,92.79,1366865.860712975,93.3861,2022-03-29,111291,
92.76,100.5,89.55,95.57,1817253.3038836513,95.5727,2022-03-30,130596,
95.61,102.38,93.8,97.42,1926991.145074178,98.0339,2022-03-31,160290,
