open,high,low,close,volume,vwap,timestamp,transactions,otc
0.20711,0.23409,0.18306,0.2303,559675.4892025497,0.2113,2018-03-26,860,
0.225,0.2646,0.2066,0.2297,1436264.2877947309,0.2306,2018-03-27,1570,
0.22477,0.24369,0.21571,0.217,181014.96733675,0.226,2018-03-28,373,
0.22409,0.2242,0.18497,0.19,338920.27475824003,0.204,2018-03-29,320,
0.18491,0.19489,0.17109,0.18318,986599.9608866598,0.1777,2018-03-30,362,
0.18988,0.19699,0.18241,0.19604,367865.29747468996,0.1915,2018-03-31,238,
0.19589,0.19734,0.17101,0.18161,304376.5819803101,0.1861,2018-04-01,185,
0.18908,0.20169,0.18725,0.19989,249084.25966912002,0.1939,2018-04-02,189,
0.19999,0.23529,0.19653,0.21072,555338.1187416102,0.2132,2018-04-03,469,
0.2067,0.21369,0.1841,0.18687,300100.52166346,0.1973,2018-04-04,258,
0.18521,0.21528,0.17723,0.1813,457218.31792645017,0.195,2018-04-05,433,
0.18679,0.1958,0.17722,0.18149,626225.44149416,0.1848,2018-04-06,483,
0.1798,0.19949,0.17872,0.19091,401324.9220710999,0.189,2018-04-07,301,
0.19539,0.20435,0.19396,0.19777,274536.02128735,0.1981,2018-04-08,209,
0.19301,0.20369,0.18426,0.1844,242087.48709306974,0.1952,2018-04-09,276,
0.18708,0.20028,0.1815,0.20028,529828.19310825,0.1919,2018-04-10,303,
0.19872,0.20989,0.1969,0.20664,435374.25278715015,0.2035,2018-04-11,281,
0.20664,0.2434,0.19501,0.23321,408430.7665177799,0.2215,2018-04-12,513,
0.23311,0.275,0.22353,0.23881,831075.1555885599,0.2485,2018-04-13,746,
0.23711,0.26707,0.23711,0.2603,352801.21946074883,0.2508,2018-04-14,340,
0.2618,0.26877,0.25541,0.26379,306667.49575379014,0.2614,2018-04-15,312,
0.26497,0.32,0.25182,0.2726,1246918.2421596905,0.2694,2018-04-16,961,
0.27277,0.28437,0.26311,0.2735,631479.0581515403,0.2755,2018-04-17,375,
0.27391,0.40995,0.27357,0.3548,1707324.596860562,0.3319,2018-04-18,1560,
0.36523,0.40493,0.35334,0.3832,2376242.863258821,0.373,2018-04-19,1819,
0.3837,0.42,0.3729,0.40127,1272544.808511109,0.3982,2018-04-20,1021,
0.4022,0.41749,0.37001,0.41,851671.821406801,0.397,2018-04-21,943,
0.416,0.4498,0.3999,0.43929,491731.6251289699,0.4283,2018-04-22,684,
0.4235,0.43938,0.42232,0.4377,296869.80150319,0.4325,2018-04-23,248,
0.4376,0.4749,0.43332,0.45481,1208281.2123175103,0.462,2018-04-24,1050,
0.45491,0.4569,0.3821,0.41134,1431686.9154636308,0.4159,2018-04-25,1036,
0.40631,0.4401,0.40207,0.4401,350382.5177756501,0.4229,2018-04-26,490,
0.4401,0.44999,0.41613,0.42301,223308.40354034994,0.4353,2018-04-27,299,
0.42301,0.4949,0.41608,0.4436,1301157.3539959304,0.457,2018-04-28,963,
0.44361,0.47,0.43167,0.47,128464.0272539,0.4488,2018-04-29,233,
0.4678,0.50677,0.4374,0.49459,633463.8785102997,0.4722,2018-04-30,606,
0.48641,0.5222,0.44111,0.5036,972805.5467720897,0.482,2018-05-01,951,
0.50989,0.53216,0.48263,0.49496,1568951.8466028974,0.4937,2018-05-02,1051,
0.49909,0.5217,0.48528,0.50399,462982.5671098996,0.5043,2018-05-03,465,
0.49678,0.5049,0.47105,0.48194,472384.86839638,0.4876,2018-05-04,309,
0.49439,0.49508,0.44643,0.455,346688.36001322017,0.4726,2018-05-05,346,
0.458,0.463,0.42001,0.43177,155068.4810731999,0.4372,2018-05-06,312,
0.43552,0.44,0.3825,0.40464,343333.0847969198,0.4047,2018-05-07,480,
0.4129,0.43061,0.37901,0.3986,267505.06096093,0.4036,2018-05-08,327,
0.3978,0.3978,0.36172,0.37279,204515.73126170997,0.3769,2018-05-09,252,
0.375,0.40028,0.365,0.388,377577.98946306005,0.3853,2018-05-10,337,
0.38031,0.381,0.31171,0.349,497256.9986757999,0.342,2018-05-11,605,
