open,high,low,close,volume,vwap,timestamp,transactions,otc
0.015,0.112,0.01252,0.0176,49296.52253066999,0.0173,2019-11-15,28,
0.0135,0.0155,0.0128,0.0128,7455.672949,0.0136,2019-11-16,6,
0.014568,0.015098,0.0125,0.01385,4034.14451301,0.0142,2019-11-17,10,
0.012937,0.0148,0.0123,0.012936,3549.26665376,0.0124,2019-11-18,8,
0.0148,0.0148,0.014487,0.014487,4020.2402644100002,0.0146,2019-11-19,4,
0.012064,0.012064,0.012,0.012,10307.68912181,0.012,2019-11-20,2,
0.011,0.011141,0.011,0.011121,25200.0,0.0111,2019-11-22,3,
0.011537,0.011537,0.01,0.011091,11058.17642122,0.0106,2019-11-26,6,
0.011111,0.011111,0.011111,0.011111,7.81802386,0.0111,2019-11-27,1,
0.011161,0.01159,0.011161,0.01159,3532.90072652,0.0114,2019-11-29,2,
0.011,0.0111,0.011,0.0111,19906.491,0.0111,2019-11-30,2,
0.010291,0.01159,0.010045,0.01158,3846.12221861,0.011,2019-12-02,5,
0.01,0.01,0.01,0.01,30000.0,0.01,2019-12-05,3,
0.010236,0.010236,0.01,0.01,7529.77624653,0.01,2019-12-08,3,
0.0093348,0.0093348,0.009,0.009,5975.96175677,0.009,2019-12-10,2,
0.0090532,0.0090532,0.009,0.009,5283.54886448,0.009,2019-12-14,3,
0.011957,0.0125,0.011957,0.0125,3112.25103873,0.0121,2019-12-18,2,
0.0083663,0.0083663,0.0083663,0.0083663,1664.0,0.0084,2019-12-22,1,
0.0071324,0.0071324,0.0051001,0.006908,105989.2406698,0.0056,2020-01-12,27,
0.0084177,0.008432,0.0069109,0.0069693,510284.7298575699,0.007,2020-01-13,18,
0.0067703,0.0071614,0.0067286,0.0071614,632970.02193634,0.0069,2020-01-14,21,
0.0071951,0.0072919,0.006855,0.0071479,505378.47477946995,0.0069,2020-01-15,48,
0.0072121,0.0072121,0.0069759,0.007075,209957.564343,0.007,2020-01-16,5,
0.0072548,0.0076917,0.0072003,0.0074273,208609.53267475,0.0076,2020-01-17,11,
0.0075389,0.007721,0.0075389,0.0076288,197676.71179355,0.0076,2020-01-18,11,
0.0075503,0.0075528,0.006996,0.007058,1654541.38630668,0.0073,2020-01-19,65,
0.0070621,0.007333,0.0070563,0.007333,289101.5,0.0071,2020-01-20,8,
