open,high,low,close,volume,vwap,timestamp,transactions,otc
0.2689,0.2741,0.24,0.2666,2003.45,0.2552,2018-03-26,29,
0.2607,0.2789,0.234,0.2525,593.3200000000002,0.2391,2018-03-27,37,
0.263,0.2789,0.2464,0.2564,724.0799999999999,0.2521,2018-03-28,28,
0.2594,0.2832,0.22,0.2331,13290.029999999997,0.238,2018-03-29,110,
0.2331,0.2331,0.1882,0.189,5062.790000000001,0.1964,2018-03-30,48,
0.2187,0.236,0.192,0.2112,3873.200000000001,0.2201,2018-03-31,28,
0.2113,0.2225,0.19,0.19,1510.2199999999998,0.2074,2018-04-01,34,
0.2063,0.2178,0.192,0.1921,588.28,0.1988,2018-04-02,20,
0.1986,0.2299,0.1986,0.219,1672.3300000000002,0.2162,2018-04-03,30,
0.2333,0.2333,0.2031,0.222,9791.01,0.2131,2018-04-04,52,
0.2146,0.2216,0.203,0.2115,142.02000000000007,0.213,2018-04-05,29,
0.209,0.2117,0.19,0.2025,4852.029999999999,0.2016,2018-04-06,35,
0.203,0.26,0.1959,0.2005,1612.3099999999977,0.2185,2018-04-07,111,
0.2006,0.2359,0.2006,0.2213,4276.890000000001,0.2079,2018-04-08,40,
0.2297,0.23,0.21,0.2249,1549.4399999999998,0.2172,2018-04-09,38,
0.2297,0.2579,0.22,0.2452,3115.9200000000005,0.2382,2018-04-10,84,
0.2403,0.2593,0.2257,0.25,1297.5899999999997,0.2367,2018-04-11,54,
0.248,0.2921,0.2248,0.2755,11661.47,0.2684,2018-04-12,112,
0.2792,0.348,0.2757,0.3193,32780.82999999998,0.3226,2018-04-13,424,
0.3267,0.4,0.3164,0.3352,11701.38000000002,0.3477,2018-04-14,184,
0.3427,0.371,0.3201,0.37,3918.6800000000003,0.3452,2018-04-15,47,
0.3576,0.3699,0.32,0.3219,6150.079999999998,0.332,2018-04-16,68,
0.3503,0.3562,0.3219,0.3239,7026.150000000001,0.3319,2018-04-17,60,
0.3435,0.37,0.3364,0.37,5450.82,0.3516,2018-04-18,76,
0.37,0.38,0.3602,0.38,2473.7199999999993,0.3722,2018-04-19,48,
0.3799,0.392,0.36,0.36,2561.9099999999994,0.3749,2018-04-20,66,
0.3601,0.3834,0.3599,0.3618,2534.360000000001,0.3665,2018-04-21,42,
0.3619,0.425,0.3599,0.4123,12314.070000000002,0.4001,2018-04-22,195,
0.4134,0.452,0.3801,0.3837,11511.36,0.4302,2018-04-23,160,
0.3855,0.456,0.326,0.419,17418.730000000007,0.3811,2018-04-24,581,
0.419,0.4234,0.3501,0.3906,20562.129999999997,0.3729,2018-04-25,98,
0.399,0.3999,0.358,0.358,783.3,0.3889,2018-04-26,33,
0.3995,0.4028,0.358,0.3897,5494.990000000001,0.385,2018-04-27,55,
0.3838,0.4202,0.3616,0.4,3710.1699999999996,0.3991,2018-04-28,35,
0.4001,0.422,0.3681,0.422,8943.13,0.4084,2018-04-29,40,
0.4119,0.4219,0.3772,0.407,3920.7200000000007,0.3988,2018-04-30,56,
0.4088,0.422,0.3906,0.422,9929.320000000002,0.4083,2018-05-01,73,
