open,high,low,close,volume,vwap,timestamp,transactions,otc
0.1414,0.158,0.1175,0.13525,10200.0,0.141,2018-03-26,40,
0.12779,0.129,0.1195,0.12731,1900.0,0.1274,2018-03-27,9,
0.1273,0.13679,0.12,0.12519,7500.0,0.1284,2018-03-28,28,
0.126,0.126,0.10581,0.10581,3200.0,0.1174,2018-03-29,14,
0.1,0.11793,0.09626,0.1,13000.0,0.1012,2018-03-30,33,
0.1074,0.1074,0.1074,0.1074,100.0,0.1074,2018-03-31,1,
0.10371,0.10371,0.0882,0.09128,9700.0,0.0948,2018-04-01,24,
0.09122,0.09364,0.09122,0.09364,2100.0,0.0935,2018-04-02,3,
0.1136,0.11798,0.09854,0.1011,14700.0,0.1031,2018-04-03,33,
0.10932,0.10933,0.09543,0.09543,1200.0,0.1059,2018-04-04,4,
0.0927,0.09399,0.08379,0.08643,5400.0,0.086,2018-04-05,18,
0.09371,0.1029,0.09371,0.10095,9000.0,0.0972,2018-04-06,22,
0.10137,0.10288,0.09699,0.09699,1900.0,0.1003,2018-04-07,18,
0.09596,0.11999,0.09318,0.11267,13600.0,0.0982,2018-04-08,28,
0.11267,0.12602,0.09673,0.09738,3800.0,0.1086,2018-04-09,32,
0.11939,0.11939,0.09679,0.10405,46600.0,0.1176,2018-04-10,137,
0.10153,0.10174,0.1,0.10172,3000.0,0.1013,2018-04-11,20,
0.10053,0.11949,0.09676,0.10683,21500.0,0.1181,2018-04-12,32,
0.11019,0.12,0.10895,0.11325,11100.0,0.1158,2018-04-13,19,
0.11258,0.11895,0.10416,0.11588,13000.0,0.1143,2018-04-14,124,
0.11183,0.12249,0.11183,0.1205,16300.0,0.119,2018-04-15,136,
0.11939,0.12216,0.11142,0.11559,16800.0,0.1178,2018-04-16,78,
0.11331,0.12664,0.11331,0.11866,47500.0,0.1181,2018-04-17,235,
0.11831,0.1345,0.11831,0.12938,22900.0,0.1272,2018-04-18,171,
0.12663,0.13446,0.11849,0.13446,17200.0,0.1266,2018-04-19,99,
0.13228,0.139,0.13075,0.13649,38000.0,0.1362,2018-04-20,178,
0.13666,0.13706,0.12689,0.12868,23200.0,0.1341,2018-04-21,59,
0.13477,0.14324,0.13477,0.14257,16500.0,0.1396,2018-04-22,128,
0.13554,0.14932,0.13554,0.14484,26700.0,0.1442,2018-04-23,196,
0.14254,0.16239,0.14254,0.15922,43300.0,0.1578,2018-04-24,328,
0.15981,0.15981,0.12771,0.13603,59600.0,0.141,2018-04-25,580,
0.12895,0.14904,0.12895,0.14811,20300.0,0.1405,2018-04-26,188,
0.15251,0.15376,0.13826,0.14735,26800.0,0.1492,2018-04-27,242,
0.12777,0.15898,0.12777,0.15304,23800.0,0.1432,2018-04-28,122,
0.15211,0.16286,0.14728,0.16113,17400.0,0.1575,2018-04-29,138,
0.16764,0.16764,0.15446,0.15695,28100.0,0.1614,2018-04-30,186,
0.15605,0.17,0.14286,0.15434,39900.0,0.1499,2018-05-01,187,
0.15007,0.15895,0.15007,0.15833,6100.0,0.1554,2018-05-02,53,
0.16112,0.17597,0.15619,0.16995,21700.0,0.1697,2018-05-03,164,
0.1715,0.18,0.16541,0.1751,15300.0,0.1728,2018-05-04,131,
0.16674,0.17763,0.15973,0.16355,11600.0,0.169,2018-05-05,97,
0.16178,0.16324,0.141,0.15381,29600.0,0.1519,2018-05-06,193,
0.15031,0.15834,0.13,0.15424,27300.0,0.1479,2018-05-07,142,
0.15289,0.16478,0.13923,0.15201,21100.0,0.1552,2018-05-08,137,
0.14809,0.15399,0.13991,0.14905,47000.0,0.1489,2018-05-09,436,
0.14238,0.15998,0.14001,0.15308,43400.0,0.1525,2018-05-10,383,
0.15039,0.15243,0.1295,0.13586,22200.0,0.1402,2018-05-11,193,
0.13268,0.14398,0.12523,0.14074,25900.0,0.1345,2018-05-12,252,
0.12845,0.149,0.11107,0.14713,41200.0,0.1405,2018-05-13,412,
0.13327,0.15219,0.12738,0.14191,24700.0,0.1402,2018-05-14,237,
0.14054,0.1479,0.13491,0.13605,7800.0,0.1402,2018-05-15,78,
0.13729,0.14271,0.1268,0.13796,16400.0,0.1325,2018-05-16,136,
0.13796,0.14146,0.12002,0.12824,16500.0,0.1329,2018-05-17,113,
0.12525,0.133,0.12181,0.13279,15000.0,0.1282,2018-05-18,121,
0.1328,0.14,0.1328,0.14,1600.0,0.1369,2018-05-19,16,
0.14035,0.14141,0.13281,0.14141,4700.0,0.1389,2018-05-20,47,
0.13841,0.14352,0.13792,0.13973,4800.0,0.1404,2018-05-21,48,
0.13388,0.14515,0.12974,0.13161,10800.0,0.1358,2018-05-22,94,
0.12495,0.13259,0.11005,0.11703,12300.0,0.1231,2018-05-23,59,
