open,high,low,close,volume,vwap,timestamp,transactions,otc
6.60809,6.97,5.258,5.90358,15563192.232184986,5.7509,2018-03-26,81751,
5.9256,6.58544,5.1801,5.92265,18821697.747368705,5.8334,2018-03-27,99618,
5.91521,6.57055,5.611,6.1946,8085522.072315869,6.1196,2018-03-28,67774,
6.2857,6.41817,5.7001,6.07291,11681833.997645546,5.977,2018-03-29,76940,
6.07674,6.39462,5.5667,6.23065,10155835.564456975,5.9088,2018-03-30,75061,
6.23087,6.35,5.7779,6.12975,4067151.2593192835,6.0257,2018-03-31,44766,
6.12741,6.17407,5.1,5.81632,8794357.849724041,5.544,2018-04-01,64616,
5.5931,6.10369,5.4944,5.7901,4867550.1153716,5.703,2018-04-02,43905,
5.98341,6.34682,5.7298,6.21826,4423256.705989195,5.9407,2018-04-03,42547,
6.0099,6.235,5.4701,5.89863,4043492.7565454473,5.7376,2018-04-04,44037,
5.89871,6.6,5.393,6.3249,8735901.452905105,5.946,2018-04-05,59470,
6.4993,6.55,5.6662,6.02685,8870361.709742183,5.9315,2018-04-06,56554,
5.822,6.16113,5.775,6.08646,2546253.949777535,5.9181,2018-04-07,37045,
6.09307,6.14712,5.8197,6.12821,2069584.3385761674,5.9329,2018-04-08,33502,
6.13516,6.21996,5.7383,5.8441,3899722.947655286,5.8926,2018-04-09,43006,
5.85,6.26956,5.7396,6.19876,3484068.572833968,5.9478,2018-04-10,33577,
6.19669,9.08695,5.9502,8.5129,29242980.894444726,7.489,2018-04-11,150568,
8.73355,9.498,7.85,9.10838,27152906.95130099,8.6985,2018-04-12,176689,
8.8222,9.91547,8.588,8.813,14938820.026733954,9.1029,2018-04-13,104222,
8.8158,9.32201,8.0975,8.7043,9550408.426832119,8.5723,2018-04-14,75135,
8.9188,9.15,7.7501,8.5297,9653233.635916796,8.3705,2018-04-15,72752,
8.7144,8.8,7.8,8.12,7590846.155112614,8.1026,2018-04-16,53132,
8.13,9.34484,8.0811,8.491,9661008.533213954,8.6957,2018-04-17,66632,
8.72979,9.5,8.4402,9.24059,7062428.684399508,8.8663,2018-04-18,57738,
9.24182,9.69245,8.8203,9.69245,6904469.726778539,9.1802,2018-04-19,53566,
9.47,11.85989,9.4495,11.60266,19657651.938027326,10.5583,2018-04-20,118384,
11.614,11.86714,9.8828,11.32879,12658881.426206712,10.8872,2018-04-21,85199,
11.124,12.0,10.744,11.5572,11169937.994401986,11.4696,2018-04-22,76923,
11.55909,12.14026,11.22,11.82714,8120546.05825484,11.5928,2018-04-23,62947,
11.82483,16.1696,11.6,15.107,32395838.44837108,13.9708,2018-04-24,196829,
15.17783,15.72138,13.3164,14.5891,28747019.553273685,14.4178,2018-04-25,175320,
14.44,15.6,13.85,15.51662,12289099.004142182,14.726,2018-04-26,92519,
15.436,17.98998,14.753,16.70988,16448375.554983685,16.4384,2018-04-27,130434,
16.615,19.6498,16.4283,18.81954,18452177.467415623,18.4701,2018-04-28,152219,
18.81845,23.3998,17.85,21.443,26108180.53908628,20.6774,2018-04-29,200095,
21.412,21.69999,16.5,17.467,26083724.74227385,18.2785,2018-04-30,192030,
17.464,19.2419,15.8601,18.733,19670518.40657764,17.1857,2018-05-01,132882,
18.735,19.637,18.15,19.15998,13097192.202440415,18.7917,2018-05-02,95355,
19.232,19.3696,16.700099,17.666,13573073.87667538,17.9292,2018-05-03,118615,
17.66,18.09999,16.225,17.053,8617454.596065497,17.1294,2018-05-04,63551,
17.059,18.65115335,17.0002,17.772,7324235.499179241,18.1014,2018-05-05,63283,
17.755,18.0,16.535,17.387,7655123.838151522,17.2878,2018-05-06,60401,
17.423,18.442,16.613,17.797,11393533.166544644,17.6267,2018-05-07,85210,
17.797,18.98,17.5707,17.963,7673442.114897989,18.2297,2018-05-08,53807,
