open,high,low,close,volume,vwap,timestamp,transactions,otc
0.39285,0.4091,0.35928,0.37735,310516978.0,0.3796,2021-11-23,140450,
0.50611,0.52,0.4688,0.50409,105102303.582928,0.4955,2021-12-14,87837,
0.50445,0.51187,0.4587,0.50102,93721486.8855615,0.488,2021-12-15,84618,
0.50115,0.51854,0.46503,0.46672,65108422.769220464,0.4945,2021-12-16,62183,
0.46708,0.48135,0.43454,0.45279,72733467.22223258,0.4582,2021-12-17,64477,
0.45299,0.47459,0.43757,0.46516,61542869.96739482,0.4587,2021-12-18,53121,
0.46535,0.50595,0.44105,0.44401,48146001.55361786,0.4627,2021-12-19,46039,
0.44389,0.455,0.40883,0.43028,64267147.03496161,0.4283,2021-12-20,53461,
0.43085,0.47,0.42424,0.44133,59999307.36913481,0.4379,2021-12-21,50149,
0.44131,0.47,0.4312,0.43798,57247040.45157334,0.4432,2021-12-22,52948,
0.43779,0.52869,0.4275,0.51296,115786694.11923714,0.4845,2021-12-23,93696,
0.51364,0.52185,0.46586,0.4726,90561224.58125237,0.4982,2021-12-24,68174,
0.47246,0.511,0.46823,0.49785,56859340.34155893,0.4962,2021-12-25,46741,
0.49765,0.5288,0.48047,0.51132,61363474.99324931,0.5063,2021-12-26,51266,
0.51171,0.55426,0.50855,0.53669,94239176.134318,0.5386,2021-12-27,76316,
0.53694,0.53694,0.45933,0.46656,116135070.29346493,0.4899,2021-12-28,92600,
0.46635,0.48768,0.44191,0.45008,75996372.72343633,0.4656,2021-12-29,60435,
0.44986,0.47993,0.44097,0.46209,76788593.2910726,0.4685,2021-12-30,60787,
0.46212,0.47587,0.44418,0.45015,62319336.737927094,0.4627,2021-12-31,52739,
0.45039,0.46492,0.45039,0.46179,40968709.53408397,0.4581,2022-01-01,39578,
0.46168,0.46413,0.45104,0.45679,36121015.37805078,0.4571,2022-01-02,39382,
0.45679,0.4582,0.43151,0.44114,47543341.88295564,0.448,2022-01-03,43037,
0.44114,0.44406,0.4206,0.42571,39700088.71309168,0.432,2022-01-04,40925,
0.42568,0.44079,0.34188,0.37667,101647221.45708959,0.3962,2022-01-05,87373,
0.37743,0.40093,0.35562,0.38262,130399801.80213305,0.3748,2022-01-06,88368,
0.38305,0.38524,0.33826,0.34437,171093396.91351023,0.3546,2022-01-07,106436,
0.34455,0.35477,0.30449,0.31474,119402616.74840032,0.3271,2022-01-08,74169,
0.31455,0.34638,0.31095,0.32798,104047010.8980714,0.3265,2022-01-09,62314,
0.32788,0.3336,0.29001,0.30678,119006861.96280086,0.3089,2022-01-10,68406,
0.30688,0.3256,0.30237,0.32086,70848115.91644791,0.3143,2022-01-11,49425,
0.32108,0.36704,0.32006,0.35956,116407099.78547452,0.3489,2022-01-12,74068,
0.35967,0.3646,0.32423,0.32682,81666126.96893996,0.346,2022-01-13,56681,
0.32688,0.33565,0.31777,0.32486,56304953.00494161,0.3269,2022-01-14,43556,
0.32478,0.35,0.32177,0.33582,61543026.24089163,0.3354,2022-01-15,44859,
0.33568,0.34145,0.3232,0.32897,50341937.748140514,0.3313,2022-01-16,42188,
0.32908,0.32993,0.29929,0.30431,76070667.20766729,0.3113,2022-01-17,54942,
0.30425,0.31428,0.29042,0.29999,135826342.81550682,0.2998,2022-01-18,74685,
0.30009,0.30192,0.27339,0.27798,110526307.11741039,0.2854,2022-01-19,66603,
0.27805,0.29441,0.25818,0.26169,104520521.43624753,0.2786,2022-01-20,63625,
0.26128,0.26614,0.20206,0.21578,283564714.42995083,0.2393,2022-01-21,118192,
0.21558,0.22272,0.15424,0.18137,458634153.8417034,0.1842,2022-01-22,189249,
0.18148,0.20135,0.17949,0.19621,255620186.80355945,0.189,2022-01-23,112332,
0.1963,0.19674,0.16054,0.18488,322235389.85415983,0.1757,2022-01-24,122978,
0.1851,0.19788,0.17479,0.18686,168470984.63660812,0.1839,2022-01-25,72191,
0.18725,0.23277,0.18423,0.2102,379392487.28307396,0.2113,2022-01-26,165925,
0.21028,0.21426,0.17855,0.18848,288241823.98983425,0.197,2022-01-27,125436,
0.18811,0.19382,0.1804,0.19007,188231802.50241446,0.1871,2022-01-28,87045,
0.1901,0.20008,0.18739,0.19241,133031537.93502201,0.1932,2022-01-29,75843,
0.19237,0.21067,0.18637,0.1897,229739556.45626965,0.1995,2022-01-30,99084,
0.18965,0.20088,0.17947,0.19782,166854697.2568724,0.1903,2022-01-31,81018,
0.19793,0.20999,0.1961,0.20576,177173202.16698638,0.2032,2022-02-01,84258,
0.20573,0.20779,0.18129,0.18647,150736714.59839338,0.1953,2022-02-02,73073,
0.18652,0.1882,0.17784,0.18733,204451243.8294017,0.1845,2022-02-03,89545,
0.18722,0.20522,0.18468,0.20194,132723996.0,0.1931,2022-02-04,68807,
0.20194,0.29723,0.20096,0.29262,520567037.0,0.2545,2022-02-05,254580,
0.29259,0.35826,0.28958,0.32025,627043657.0,0.3272,2022-02-06,365736,
0.32027,0.38429,0.30272,0.34781,490922601.0,0.3502,2022-02-07,334877,
0.34823,0.3823,0.31975,0.38111,437196880.0,0.3449,2022-02-08,269037,
0.38136,0.39639,0.35,0.35904,323547270.0,0.3656,2022-02-09,149671,
0.35874,0.37084,0.32313,0.32738,245934633.0,0.3494,2022-02-10,122832,
0.32759,0.349,0.299,0.3067,237143813.0,0.3254,2022-02-11,101923,
0.3067,0.32211,0.29163,0.30958,189477158.0,0.3075,2022-02-12,84580,
0.30958,0.3154,0.27651,0.28082,166951895.0,0.2955,2022-02-13,86937,
0.28078,0.30612,0.2748,0.29491,212951270.0,0.2887,2022-02-14,106965,
0.29504,0.36026,0.2945,0.35603,273014763.0,0.3338,2022-02-15,127972,
