open,high,low,close,volume,vwap,timestamp,transactions,otc
66.88,67.59,55.12,60.54,307044.56968694646,58.9909,2018-03-26,35059,
59.0,62.08,52.0,56.62,372245.553514024,57.1547,2018-03-27,41074,
56.59,61.18,54.5,57.84,175462.82885558953,57.7733,2018-03-28,30765,
57.77,58.07,50.402,53.38,263541.42940787965,53.3615,2018-03-29,32813,
53.38,55.79,48.286,52.06,238158.81825897892,50.6123,2018-03-30,33992,
52.08,54.65,49.51,51.78,129672.08930644771,51.1183,2018-03-31,22134,
51.78,52.44,44.839,49.09,155362.7648315995,47.6895,2018-04-01,24904,
47.25,52.3,46.614,50.42,144041.7920859261,48.5167,2018-04-02,22701,
48.82,55.6,48.275,54.92,174066.17920695434,52.1646,2018-04-03,26669,
53.404,54.95,46.414,49.62,186342.46696518743,49.2818,2018-04-04,27716,
47.529,50.25,45.177,48.53,155122.2643486489,46.7604,2018-04-05,26482,
48.56,49.27,44.159,46.52,100933.58977106759,45.6908,2018-04-06,21010,
46.51,49.36,44.66,47.93,105182.97674622746,46.878,2018-04-07,24631,
47.93,50.56,46.098,50.56,76426.83109466973,47.9202,2018-04-08,15235,
49.288,58.66,49.2,54.88,474573.8032253682,52.6411,2018-04-09,39298,
54.83,55.0,48.773,54.35,188024.34605442965,51.3169,2018-04-10,24665,
54.34,61.15,52.094,59.75,286395.977223712,56.0223,2018-04-11,35143,
58.248,69.9,54.5,69.9,470525.28676050174,61.4448,2018-04-12,45896,
69.89,70.61,61.516,64.48,338032.37938827934,65.7549,2018-04-13,39243,
64.45,67.6,61.68,66.29,121951.56168769441,64.1494,2018-04-14,28976,
66.3,72.87,63.986,72.38,198808.22499698977,68.4934,2018-04-15,30301,
72.38,72.84,64.065,66.97208382,210126.94370311033,66.8236,2018-04-16,30030,
68.91,72.12,65.217,67.69,142670.70005534682,67.6441,2018-04-17,24021,
65.695,74.9,65.52,74.56,199404.1616933076,70.3866,2018-04-18,27732,
74.5,76.92,70.538,74.023,267970.87541512056,73.0845,2018-04-19,28482,
73.905,81.34,71.5,80.36,278322.60215484345,75.7219,2018-04-20,31091,
80.32,81.45,70.33,76.11,202852.62811243258,74.9229,2018-04-21,30895,
74.669,78.89,72.689,75.58,154439.86238202828,75.2241,2018-04-22,26829,
75.65,80.0,73.308,77.95,133750.93245928537,76.4465,2018-04-23,21854,
77.98,84.89,76.15,83.22,318946.80761431163,81.0791,2018-04-24,33258,
82.21294327,83.1,68.104,72.23,419161.25113577297,74.1523,2018-04-25,38364,
71.521,77.5,69.42,77.13,207644.98466399193,72.6244,2018-04-26,28803,
77.05,80.11,72.201,73.24,148547.97320457833,75.3043,2018-04-27,31202,
73.3,78.53,71.93340129,76.67,140597.77891887762,75.9301,2018-04-28,30933,
76.68,92.8,76.0,90.719,596411.1862050781,85.1528,2018-04-29,53253,
