open,high,low,close,volume,vwap,timestamp,transactions,otc
24.6,24.6,13.821,13.826,70884.29332110008,15.6757,2021-02-25,1365,
13.854,15.404,13.167,13.612,131414.36645997994,14.0204,2021-02-26,1876,
13.59,14.691,13.118,13.197,197922.43930267022,13.8649,2021-02-27,2556,
13.179,13.741,11.556,13.096,210657.64310542963,12.5544,2021-02-28,2726,
13.109,16.89,13.098,14.992,182168.9951610497,14.3785,2021-03-01,2877,
14.94,15.999,13.5,14.102,40114.132208449955,14.2407,2021-03-02,524,
13.955,15.95,13.825,14.6,19733.156654010007,14.2661,2021-03-03,482,
14.641,16.99,12.811,13.3,6853.891231610005,13.7998,2021-03-04,293,
12.997,12.997,12.25,12.576,26408.81981667998,12.6032,2021-03-05,681,
12.63,13.29,11.947,13.056,40959.30856289005,12.3514,2021-03-06,710,
13.083,13.99,12.747,13.863,16850.77482614001,13.4745,2021-03-07,554,
13.845,13.875,13.093,13.635,13014.914707850005,13.5636,2021-03-08,437,
13.655,15.0,13.36,14.906,11793.149247900004,14.0368,2021-03-09,388,
14.921,15.22,14.112,14.531,11302.001364179996,14.7727,2021-03-10,315,
14.52,16.7,13.755,15.974,44061.466156690025,15.2863,2021-03-11,1050,
16.104,16.5,14.214,14.632,29943.088626709992,15.8009,2021-03-12,732,
14.688,15.429,14.009,15.333,16015.658566760008,14.9378,2021-03-13,489,
15.359,15.374,14.412,14.583,12249.494893410012,14.8564,2021-03-14,498,
14.513,14.792,13.747,14.214,43666.69960811003,14.1967,2021-03-15,892,
14.261,14.326,13.269,13.618,52047.02224379999,13.7641,2021-03-16,1042,
13.685,14.224,13.09,14.206,82023.61381679986,13.648,2021-03-17,1413,
14.235,14.73,14.001,14.193,18702.18360831001,14.2827,2021-03-18,675,
14.188,14.471,13.831,14.16,22063.404054270013,14.1872,2021-03-19,674,
14.149,14.92,14.127,14.197,11455.698505539984,14.532,2021-03-20,489,
14.112,14.347,13.647,14.341,23657.691752400016,14.0467,2021-03-21,739,
14.271,16.574,14.177,14.866,31253.717336810005,15.3651,2021-03-22,963,
14.792,15.201,14.077,14.215,15705.773750029988,14.4885,2021-03-23,613,
14.203,15.332,13.612,13.612,12070.25414185,14.3629,2021-03-24,572,
13.608,13.664,12.549,13.016,17745.487761450022,12.9945,2021-03-25,587,
13.027,14.762,12.346,14.762,15887.601664809989,13.5415,2021-03-26,652,
14.793,16.78,14.745,16.524,39336.431011620014,15.4033,2021-03-27,707,
16.544,19.369,16.36,18.052,27884.45935606998,18.2057,2021-03-28,937,
18.215,18.941,17.685,18.89,10233.07833479001,18.4348,2021-03-29,522,
18.961,30.0,18.961,19.28,20909.882731929993,21.1432,2021-03-30,932,
19.7,20.29,18.17,19.9,15085.949750259993,19.6154,2021-03-31,460,
20.006,24.0,18.914,19.459,5184.182904810003,19.9601,2021-04-01,544,
19.049,20.105,18.728,20.105,2844.058855100001,19.2331,2021-04-02,373,
19.826,23.959,19.826,22.602,9178.357206680013,22.2049,2021-04-03,567,
22.603,25.88,22.603,24.322,19287.823703230006,24.5674,2021-04-04,684,
24.325,25.459,22.914,23.17,18940.654731609986,23.6926,2021-04-05,656,
23.119,25.357,22.25,25.117,9221.900284860003,23.4044,2021-04-06,689,
25.44,27.5,23.045,26.534,75356.75295263999,25.6186,2021-04-07,2616,
26.601,27.934,25.69,27.002,18829.874680700006,26.7108,2021-04-08,1111,
26.93,28.951,26.9,27.742,21274.36392208005,28.2119,2021-04-09,1190,
27.639,28.192,26.001,26.824,26005.222534680044,27.1022,2021-04-10,1369,
26.842,28.62,25.662,27.959,26507.115870920003,27.2148,2021-04-11,1256,
27.918,29.882,26.964,28.566,21521.154091160017,28.4856,2021-04-12,1263,
28.56,28.807,26.409,27.532,10707.29699408,27.1844,2021-04-13,629,
27.516,27.516,24.848,26.394,53035.59153376019,25.9666,2021-04-14,2157,
26.482,28.193,25.515,27.804,19096.34089483004,26.8183,2021-04-15,1402,
27.831,28.205,24.957,25.372,55127.83683175982,25.9473,2021-04-16,2246,
25.329,26.713,24.8,24.8,18411.89103583998,25.6778,2021-04-17,1119,
24.852,32.846,21.106,32.167,157229.7576784622,26.3982,2021-04-18,7011,
32.318,35.976,29.942,31.553,66372.25968735002,32.7614,2021-04-19,3437,
31.657,32.534,28.776,31.751,90385.21178742005,30.6125,2021-04-20,3100,
31.752,34.954,30.219,32.637,105109.07290541007,32.8133,2021-04-21,4350,
32.713,40.703,31.6,39.06,111451.75111108986,36.1205,2021-04-22,5356,
39.14,41.282,31.572,37.355,35967.17957305002,35.7882,2021-04-23,2108,
37.404,43.606,34.963,41.238,46164.95945712994,38.8203,2021-04-24,2046,
40.998,48.472,40.526,47.69,53918.48855967966,43.2635,2021-04-25,3771,
47.475,49.861,43.493,43.959,88003.22567468963,45.7336,2021-04-26,3866,
43.951,46.594,42.722,43.285,35633.51575885994,45.0452,2021-04-27,2158,
43.287,46.935,40.901,45.149,30447.467286370003,44.3062,2021-04-28,1646,
44.98,46.064,41.067,42.423,44404.191238030086,42.8726,2021-04-29,2347,
42.414,44.221,41.332,42.789,45451.57167934001,42.5892,2021-04-30,1944,
42.776,49.758,42.042,49.46,59722.8081148901,45.863,2021-05-01,2399,
49.543,49.802,45.956,46.882,51285.39957878033,47.9385,2021-05-02,2202,
46.874,48.993,44.762,45.88,44553.73366260001,47.0662,2021-05-03,2328,
45.941,47.701,42.35,42.798,87412.49642655038,44.4441,2021-05-04,3039,
42.685,45.961,42.37,44.952,54590.761443730225,44.5444,2021-05-05,2401,
44.925,44.93,42.706,43.466,30640.931706940042,43.7619,2021-05-06,1860,
43.542,46.186,41.464,43.2,62654.769268880336,43.4284,2021-05-07,4220,
43.221,46.589,42.404,45.62,61192.92755349999,44.3402,2021-05-08,3956,
45.762,47.056,42.981,44.343,55417.061609280114,44.8057,2021-05-09,4058,
44.341,45.933,39.6,42.898,140137.14422150995,43.2385,2021-05-10,7946,
42.842,45.101,39.688,44.605,104729.74419480025,41.6068,2021-05-11,6411,
44.606,49.032,42.238,43.49,245081.83376272483,45.6919,2021-05-12,13108,
43.411,45.4,37.528,41.024,218101.4311409073,41.9747,2021-05-13,11217,
41.011,44.871,40.0,42.772,82037.11111889992,42.1975,2021-05-14,5631,
