open,high,low,close,volume,vwap,timestamp,transactions,otc
0.04636,0.04778,0.03851,0.043989,78341153.18840978,0.0425,2018-03-26,14222,
0.043658,0.04789,0.039681,0.043187,76387342.9419064,0.0438,2018-03-27,13179,
0.0439,0.04985,0.042501,0.04937,40017216.59178437,0.0459,2018-03-28,8503,
0.048889,0.056,0.0422,0.04425,149232608.2649756,0.0474,2018-03-29,19470,
0.04427,0.04774,0.038125,0.04272,96082505.50975376,0.0419,2018-03-30,14537,
0.04268,0.0445,0.033301,0.03512,105432349.56901371,0.0375,2018-03-31,14179,
0.0352,0.03722,0.028,0.03336,84659970.19633423,0.0316,2018-04-01,10569,
0.03346,0.0371,0.0308,0.03682,50702344.92481568,0.0334,2018-04-02,8343,
0.03681,0.03728,0.0334,0.0359,51042575.5615471,0.0351,2018-04-03,8375,
0.03582,0.03628,0.0295,0.03126,62166645.386584476,0.0316,2018-04-04,8525,
0.030001,0.047,0.028751,0.0407,211064860.4905793,0.039,2018-04-05,24161,
0.039486,0.0455,0.035151,0.03768,71532957.16609299,0.0392,2018-04-06,11133,
0.03769,0.03961,0.036,0.03816,44737526.03982588,0.0372,2018-04-07,7597,
0.03818,0.03998,0.0364,0.03842,29214188.742211606,0.0378,2018-04-08,4799,
0.03854,0.03929,0.033668,0.03701,59294086.03754291,0.0364,2018-04-09,8974,
0.03703,0.03899,0.0349,0.03814,31023711.3776168,0.0368,2018-04-10,5954,
0.03823,0.04,0.03592,0.03632,31938697.760401856,0.0368,2018-04-11,6062,
0.03719,0.04218,0.035048,0.04167,116052149.0549798,0.0382,2018-04-12,13273,
0.04166,0.04423,0.038413,0.04023,99206768.4924788,0.0408,2018-04-13,13605,
0.04027,0.04253,0.03857,0.04135,41182156.237891175,0.0404,2018-04-14,6522,
0.0413,0.046,0.0404,0.04417,39194971.16676617,0.0426,2018-04-15,6926,
0.0433,0.0455,0.039721,0.041047,60370029.95508823,0.0416,2018-04-16,7748,
0.04233,0.04537,0.040311,0.04313,45215186.79740309,0.0426,2018-04-17,6756,
0.04313,0.0488,0.041901,0.04865,67730053.41623926,0.0456,2018-04-18,9681,
0.04859,0.05265,0.046671,0.049006,67860319.26492569,0.0495,2018-04-19,10113,
0.049,0.05472,0.047926,0.053827,61987868.9556437,0.0511,2018-04-20,9204,
0.05448,0.05745,0.049011,0.05433,71797032.36106177,0.0532,2018-04-21,11022,
0.05425,0.05565,0.05125,0.0518,50279865.322600946,0.0533,2018-04-22,7166,
0.05345,0.05988,0.0518,0.05976,62540823.182395674,0.0553,2018-04-23,9091,
0.05968,0.0785,0.056901,0.07284,184443004.2336349,0.0666,2018-04-24,23294,
0.0723,0.08473,0.064163,0.07046,208926591.71139285,0.0718,2018-04-25,26839,
0.07036,0.07449,0.065413,0.0743,70443500.97569428,0.0699,2018-04-26,11464,
0.0743,0.07949,0.070558,0.07416,99317940.33039562,0.0752,2018-04-27,13128,
0.0742,0.084384,0.073,0.08172,91311741.20379522,0.0804,2018-04-28,11408,
0.081538,0.09058,0.079232,0.08823,106694080.95741127,0.0846,2018-04-29,14329,
0.089,0.10199,0.0825,0.09288,174673540.487485,0.0937,2018-04-30,24357,
0.09279,0.099,0.084,0.092336,93407629.43477681,0.0891,2018-05-01,13834,
0.09214,0.092878,0.088883,0.09109,51782076.98567719,0.0905,2018-05-02,7935,
0.09115,0.091619,0.08286,0.08694,94150049.42247374,0.0875,2018-05-03,13161,
0.08705,0.08927,0.0802,0.08616,61693966.04675749,0.0845,2018-05-04,10926,
0.086418,0.091,0.0855,0.08736,35239117.66146241,0.0882,2018-05-05,7404,
0.087115,0.089,0.081231,0.08459,34982404.79799512,0.0838,2018-05-06,6856,
0.08441,0.086,0.07845,0.08288,45481984.48755927,0.0812,2018-05-07,7734,
0.08282,0.086,0.08,0.08237,38503481.055105515,0.0827,2018-05-08,6829,
0.08277,0.08277,0.07775,0.08039,32807674.323211018,0.0803,2018-05-09,6652,
0.08026,0.081969,0.072101,0.072881,36388958.552795425,0.0778,2018-05-10,6634,
0.07281,0.076507,0.062382,0.06557,77372071.22138034,0.068,2018-05-11,11428,
0.06557,0.0716,0.058826,0.06726,55268680.915156215,0.0646,2018-05-12,8219,
0.067368,0.076,0.066007,0.0743,41033923.38654738,0.0721,2018-05-13,7591,
0.07439,0.07464,0.068,0.07097,45082920.97825564,0.0713,2018-05-14,7345,
0.07091,0.07344,0.065905,0.06756,32909232.50906709,0.0697,2018-05-15,5971,
0.06767,0.07142,0.0625,0.07112,48477286.08078565,0.0675,2018-05-16,7417,
0.071,0.07371,0.06489,0.06661,47163695.35884357,0.0688,2018-05-17,6818,
0.06658,0.06931,0.0637,0.06878,56574624.80948472,0.0672,2018-05-18,12513,
0.06885,0.0719,0.066802,0.06865,54657086.1811318,0.0683,2018-05-19,10690,
0.06859,0.07824,0.068085,0.07679,67784968.07775086,0.0743,2018-05-20,8327,
0.077121,0.0848,0.07661,0.08097,91452961.30876328,0.0802,2018-05-21,11261,
0.08114,0.08395,0.072233,0.073,68200640.72203153,0.0771,2018-05-22,8710,
0.073,0.0807,0.0648,0.06797,71062430.75162934,0.0701,2018-05-23,10660,
0.06812,0.074,0.066694,0.072292,48704173.07531657,0.0704,2018-05-24,7813,
0.07229,0.072679,0.0681,0.07082,19444061.53474848,0.07,2018-05-25,4086,
0.07105,0.07661,0.069353,0.072431,35965681.86541287,0.0738,2018-05-26,6593,
0.0729,0.0735,0.068415,0.07045,43127119.86835058,0.071,2018-05-27,6726,
0.07051,0.07075,0.059,0.05952,58647680.571555786,0.0644,2018-05-28,9166,
0.05996,0.06593,0.05627,0.064059,56213216.61865655,0.0615,2018-05-29,9602,
0.06423,0.06764,0.058778,0.061407,51152213.93906788,0.0621,2018-05-30,8207,
0.061452,0.06392,0.057,0.06008,58945872.75291923,0.0608,2018-05-31,7910,
0.06003,0.0614,0.055737,0.05828,36485163.71429792,0.0583,2018-06-01,6093,
0.05828,0.0633,0.056836,0.0608,43898554.127768636,0.0607,2018-06-02,6621,
0.0607,0.0638,0.06001,0.0617,41018093.984009355,0.0618,2018-06-03,6981,
0.0617,0.062396,0.057631,0.05891,39883546.76344219,0.0593,2018-06-04,5698,
0.05878,0.06135,0.056808,0.060192,43433605.38285636,0.0591,2018-06-05,3066,
0.060204,0.06067,0.057768,0.05915,40964602.26439273,0.0592,2018-06-06,2121,
0.05926,0.06039,0.058238,0.058502,47047578.7401846,0.0593,2018-06-07,2651,
0.05857,0.05921,0.05654,0.05752,59274387.85849151,0.0576,2018-06-08,2261,
0.05755,0.059294,0.056598,0.05715,56096375.417731136,0.0581,2018-06-09,1437,
0.057272,0.057272,0.044633,0.047314,99610610.12746602,0.0511,2018-06-10,5866,
0.047073,0.049,0.038,0.04849,88446358.12890187,0.0467,2018-06-11,4631,
0.04859,0.04893,0.042051,0.04378,64510649.03028279,0.0462,2018-06-12,3536,
0.04406,0.04425,0.037415,0.04127,85489685.34347911,0.0411,2018-06-13,4756,
0.041,0.04589,0.04,0.044955,71529718.71675354,0.0433,2018-06-14,4493,
0.044955,0.04613,0.041663,0.042473,49322431.42046325,0.0443,2018-06-15,2643,
0.04276,0.04363,0.04141,0.043071,29588853.671410177,0.0429,2018-06-16,1769,
0.04304,0.04356,0.042389,0.04266,26155007.49432398,0.043,2018-06-17,1157,
