open,high,low,close,volume,vwap,timestamp,transactions,otc
4.04043,4.22045,3.32485,3.54875,47998.839999999545,3.7463,2018-03-26,3080,
3.57811,3.70133,2.89999,3.04996,54625.820000000174,3.3027,2018-03-27,3075,
3.04218,3.24204,2.98877,3.16086,41439.19000000014,3.1329,2018-03-28,2934,
3.13921,3.17426,2.8,2.83059,54067.58999999938,2.9706,2018-03-29,3159,
2.81486,3.1821,2.7122,2.8457,50717.80999999993,2.8592,2018-03-30,2979,
2.84501,3.02443,2.75,2.87914,48810.75000000028,2.8618,2018-03-31,2883,
2.90977,2.9392,2.58659,2.69653,59836.12000000013,2.7723,2018-04-01,3045,
2.68129,2.89339,2.66647,2.79235,41732.70000000015,2.8011,2018-04-02,2905,
2.78858,2.9966,2.71,2.93732,45596.859999999884,2.8844,2018-04-03,2896,
2.91817,2.99033,2.60014,2.75264,57900.360000000124,2.7656,2018-04-04,2960,
2.75705,2.82155,2.46,2.78462,63230.180000000124,2.6843,2018-04-05,3123,
2.74985,2.78091,2.5275,2.5771,38744.37000000004,2.5883,2018-04-06,2712,
2.57544,2.72,2.54783,2.66689,36137.94999999991,2.6535,2018-04-07,2741,
2.66406,2.75465,2.65522,2.69592,41318.56999999999,2.6984,2018-04-08,2705,
2.69624,2.83847,2.57823,2.68584,43956.73000000011,2.7068,2018-04-09,2639,
2.67986,2.78863,2.62137,2.77905,42938.62000000001,2.697,2018-04-10,2235,
2.77059,2.80061,2.62101,2.72331,45459.0000000004,2.7327,2018-04-11,2825,
2.71762,3.15164,2.70652,3.113,44986.360000000146,2.8897,2018-04-12,3237,
3.11268,3.16844,2.8,2.88356,54738.58999999765,3.0214,2018-04-13,4059,
2.88026,2.99769,2.803,2.93274,44574.13000000008,2.9117,2018-04-14,2557,
2.93408,3.21401,2.87818,3.04732,37465.94000000034,2.9882,2018-04-15,2926,
3.02994,3.19253,2.97592,3.09249,41466.840000000244,3.0811,2018-04-16,2940,
3.11,3.1463,2.84289,2.84913,41274.90000000013,3.0416,2018-04-17,2595,
2.87845,3.1194,2.84394,3.04795,48220.820000000145,2.9683,2018-04-18,2740,
3.04344,3.11765,2.89698,3.07071,51623.16000000005,3.0038,2018-04-19,3059,
3.07789,3.24296,2.82615,3.04298,53884.03000000035,3.0724,2018-04-20,3131,
3.02751,3.12097,2.97457,3.03766,44783.53000000123,3.016,2018-04-21,3018,
3.01396,3.2,2.97457,3.16435,64759.36000000072,3.0608,2018-04-22,2951,
3.17745,3.57,2.97457,3.51599,64065.91000000023,3.1906,2018-04-23,3378,
3.53104,4.24999,3.51252,4.21484,64367.18000000017,3.8624,2018-04-24,3515,
4.18707,4.2612,3.3,3.63941,55339.050000000214,3.6836,2018-04-25,3316,
3.62305,3.68661,3.37738,3.525,51593.34999999975,3.5237,2018-04-26,3070,
3.49516,3.78665,3.33205,3.58309,43613.75000000024,3.5834,2018-04-27,2894,
3.58105,3.78529,3.43794,3.74456,40271.59000000015,3.6314,2018-04-28,2862,
3.73764,3.9,3.61495,3.77893,46615.769999999815,3.7629,2018-04-29,2956,
3.78224,3.85001,3.37764,3.64074,55162.36000000016,3.6735,2018-04-30,3007,
3.64049,3.65434,3.43242,3.62167,34414.41999999991,3.54,2018-05-01,2795,
3.6397,3.72763,3.42118,3.72046,25933.04000000001,3.5686,2018-05-02,2717,
3.68687,3.97272,3.6,3.94929,37585.959999999905,3.7732,2018-05-03,2928,
3.93852,4.11894,3.78459,3.90851,45524.55999999981,3.9373,2018-05-04,2984,
3.8886,4.23928,3.88417,4.1041,30181.97999999999,4.053,2018-05-05,2798,
4.10416,4.27,3.88343,4.02763,38061.34000000003,4.071,2018-05-06,2929,
4.04244,4.05875,3.76099,3.87133,23367.629999999986,3.8582,2018-05-07,2608,
3.85661,3.94629,3.69538,3.81636,29180.619999999955,3.8112,2018-05-08,2795,
3.80456,3.9989,3.65,3.89298,26546.439999999886,3.8061,2018-05-09,2683,
3.89559,3.99808,3.785,3.81312,23384.06999999998,3.8874,2018-05-10,2470,
3.81887,3.90501,3.65,3.71432,33787.630000000005,3.7458,2018-05-11,2811,
3.71304,3.96428,3.5,3.93102,42237.11000000051,3.7407,2018-05-12,3822,
3.94146,5.231,3.55697,4.29327,66088.48999999995,4.2778,2018-05-13,3573,
4.32241,5.2,4.17874,5.14489,51789.11999999997,4.7954,2018-05-14,3784,
5.11299,5.45933,4.57146,5.036,54452.46000000012,5.0696,2018-05-15,3681,
5.02457,5.07609,4.42,4.49542,28663.98000000006,4.5707,2018-05-16,3027,
4.47024,4.6865,4.42768,4.50152,38072.63999999994,4.548,2018-05-17,2929,
4.50242,4.74215,4.46036,4.7045,24804.41999999997,4.5643,2018-05-18,2334,
4.68822,4.84249,4.6527,4.72418,17948.420000000006,4.7364,2018-05-19,1521,
4.72058,5.0,4.72058,4.87935,21835.71999999996,4.8883,2018-05-20,1725,
4.86805,4.9093,4.46,4.49677,25794.939999999995,4.6968,2018-05-21,1759,
4.4818,4.64498,4.09656,4.20623,30825.080000000034,4.3982,2018-05-22,1806,
4.20194,4.27183,3.87,3.92,34198.78,4.0295,2018-05-23,1914,
3.91809,4.11794,3.87,4.11333,31105.39999999998,3.9601,2018-05-24,2016,
4.11745,4.56198,4.09299,4.42307,26845.41999999994,4.3262,2018-05-25,2051,
4.41457,4.682,4.36303,4.40452,29024.93999999993,4.488,2018-05-26,1977,
4.40828,4.68199,4.25615,4.35143,31316.84999999989,4.447,2018-05-27,2123,
4.3827,4.452,4.20252,4.20641,22757.689999999922,4.3162,2018-05-28,2151,
4.23429,4.82069,4.20188,4.81995,28140.00999999994,4.4382,2018-05-29,1727,
4.80413,5.3,4.65186,4.92171,35660.450000000084,5.0384,2018-05-30,2492,
5.02413,5.02413,4.75992,4.82171,29559.299999999956,4.8619,2018-05-31,1842,
4.82134,5.22855,4.8,5.19773,24704.570000000047,5.0756,2018-06-01,1880,
5.1801,5.97475,5.16187,5.76039,32940.56999999997,5.5554,2018-06-02,2188,
5.78179,5.8029,4.95,5.10206,25082.019999999986,5.3151,2018-06-03,1996,
5.10391,5.34212,4.85,4.97285,47339.88999999993,4.972,2018-06-04,2528,
4.97963,5.33743,4.9,5.31962,88432.91,5.0881,2018-06-05,2987,
5.31904,5.33452,4.81221,4.92581,102493.26999999987,4.991,2018-06-06,3150,
4.94094,5.11889,4.90944,4.99947,96231.74999999959,5.0232,2018-06-07,3197,
5.0087,5.10955,4.92492,4.98052,91820.62999999078,4.9934,2018-06-08,8927,
5.00332,5.21834,4.88391,4.95326,84375.71999999983,5.0511,2018-06-09,3101,
4.95414,4.95503,4.5,4.80846,106534.76000000007,4.7375,2018-06-10,3381,
4.78856,4.83396,4.07799,4.48004,99778.88000000008,4.4254,2018-06-11,3309,
4.46272,4.57176,4.25153,4.35265,113067.65,4.3981,2018-06-12,3276,
4.32924,4.34924,3.73069,3.88186,115184.51999999995,4.0095,2018-06-13,3217,
3.88464,4.2243,3.83009,4.17478,109563.64000000001,4.0677,2018-06-14,3214,
4.1555,4.18448,3.85,3.86073,103630.46999999984,3.9831,2018-06-15,3197,
3.88761,4.12332,3.80126,4.07565,96942.66999999993,3.9183,2018-06-16,3256,
4.07113,4.21431,3.89533,3.99815,89207.34000000013,4.0584,2018-06-17,3100,
4.05237,4.23076,3.85,4.17657,83173.09999999989,4.024,2018-06-18,3260,
4.19219,4.38389,4.02448,4.20897,105961.46000000022,4.2078,2018-06-19,3371,
