ticker,first_date,last_date,num_days
X:00USD,2022-10-11,2025-12-03,1138
X:1INCHUSD,2021-04-09,2025-12-03,1700
X:A8USD,2024-07-17,2025-12-03,493
X:AAVEUSD,2020-11-06,2025-12-03,1816
X:ABTUSD,2022-07-21,2025-12-03,1232
X:ACAUSD,2022-01-25,2025-12-02,1396
X:ACHUSD,2021-08-03,2025-12-03,1584
X:ACSUSD,2023-02-15,2025-12-03,996
X:ACXUSD,2024-08-21,2025-12-03,458
X:ADAUSD,2018-02-26,2025-12-03,2838
X:ADXUSD,2022-06-09,2025-12-02,1245
X:AERGOUSD,2022-03-08,2025-12-03,1367
X:AEROUSD,2024-02-06,2025-12-03,640
X:AEVOUSD,2024-05-30,2025-12-03,541
X:AGLDUSD,2021-09-21,2025-12-03,1523
X:AIOZUSD,2022-03-08,2025-12-03,1367
X:AIRUSD,2022-02-08,2025-12-03,1383
X:AKTEUR,2022-02-01,2025-12-02,1400
X:AKTUSD,2022-02-01,2025-12-03,1303
X:ALBTUSD,2022-01-03,2023-03-06,415
X:ALCXUSD,2021-11-23,2025-12-03,1452
X:ALEOUSD,2024-09-18,2025-12-03,430
X:ALEPHUSD,2022-06-22,2025-12-03,1249
X:ALGOUSD,2019-08-15,2025-12-03,2303
X:ALGUSD,2025-01-24,2025-12-01,304
X:ALICEUSD,2022-02-25,2025-12-03,1365
X:ALPHAUSD,2022-08-26,2025-12-03,1195
X:ALT2612USD,2024-03-04,2025-12-03,303
X:ALTUSD,2024-05-30,2025-12-03,541
X:AMPUSD,2019-06-27,2025-12-03,2345
X:ANKRUSD,2021-03-25,2025-12-03,1715
X:ANTUSD,2018-04-26,2024-09-25,2079
X:APENFTUSD,2022-07-07,2025-12-03,1114
X:APEUSD,2022-03-24,2025-12-03,1351
X:API3USD,2022-02-14,2025-12-03,1389
X:APTUSD,2022-10-19,2025-12-03,1130
X:APUUSD,2025-01-24,2025-12-03,314
X:ARBUSD,2023-03-23,2025-12-03,975
X:ARKMUSD,2024-05-11,2025-12-03,572
X:ARPAUSD,2022-03-05,2025-12-03,1335
X:ASMUSD,2021-10-21,2025-12-03,1505
X:ASTRUSD,2022-01-18,2025-12-02,1403
X:ASTUSD,2022-06-28,2025-12-03,1251
X:ATAUSD,2022-06-16,2024-01-04,568
X:ATHUSD,2025-01-24,2025-12-03,314
X:ATLASUSD,2022-01-27,2025-12-02,1394
X:ATOMUSD,2020-01-14,2025-12-03,2151
X:ATOUSD,2025-01-24,2025-12-01,304
X:AUCTIONUSD,2021-11-23,2025-12-03,1452
X:AUDIOUSD,2022-02-25,2025-12-03,1366
X:AURORAUSD,2022-09-06,2025-12-03,1173
X:AUSDTUSD,2024-06-19,2025-12-03,408
X:AVAXUSD,2021-11-10,2025-12-03,1485
X:AVTUSD,2017-10-10,2025-12-03,2530
X:AXLUSD,2024-05-11,2025-12-03,572
X:AXSUSD,2021-08-12,2025-12-03,1575
X:AZEROUSD,2024-03-07,2025-07-16,478
X:B2MUSD,2025-01-24,2025-11-27,164
X:BADGERUSD,2021-08-03,2025-12-03,1584
X:BALUSD,2020-10-04,2025-12-03,1887
X:BANDUSD,2020-08-11,2025-12-03,1941
